timestamp,open,high,low,close,volume,amount
2026-06-01 08:46:00.000000,45450.0,45642.0,45420.0,45627.0,6919,314913640.0
2026-06-01 08:47:00.000000,45626.0,45650.0,45538.0,45543.0,3410,155465067.0
2026-06-01 08:48:00.000000,45546.0,45610.0,45544.0,45562.0,1640,74758668.0
2026-06-01 08:49:00.000000,45565.0,45604.0,45565.0,45582.0,962,43853500.0
2026-06-01 08:50:00.000000,45585.0,45586.0,45500.0,45507.0,1531,69705240.0
2026-06-01 08:51:00.000000,45510.0,45520.0,45400.0,45447.0,2546,115709875.0
2026-06-01 08:52:00.000000,45441.0,45463.0,45406.0,45444.0,1009,45843588.0
2026-06-01 08:53:00.000000,45438.0,45488.0,45438.0,45478.0,807,36691994.0
2026-06-01 08:54:00.000000,45477.0,45488.0,45433.0,45465.0,721,32777763.0
2026-06-01 08:55:00.000000,45467.0,45478.0,45442.0,45470.0,448,20366840.0
2026-06-01 08:56:00.000000,45472.0,45532.0,45446.0,45525.0,1209,55004780.0
2026-06-01 08:57:00.000000,45526.0,45546.0,45500.0,45542.0,755,34369603.0
2026-06-01 08:58:00.000000,45545.0,45564.0,45523.0,45528.0,793,36116992.0
2026-06-01 08:59:00.000000,45524.0,45536.0,45477.0,45500.0,753,34264919.0
2026-06-01 09:00:00.000000,45500.0,45582.0,45497.0,45581.0,943,42958341.0
2026-06-01 09:01:00.000000,45582.0,45670.0,45494.0,45570.0,3391,154625090.0
2026-06-01 09:02:00.000000,45577.0,45656.0,45542.0,45596.0,1422,64845648.0
2026-06-01 09:03:00.000000,45596.0,45729.0,45593.0,45726.0,2576,117675845.0
2026-06-01 09:04:00.000000,45727.0,45788.0,45727.0,45743.0,2070,94714099.0
2026-06-01 09:05:00.000000,45741.0,45847.0,45732.0,45847.0,1946,89104566.0
2026-06-01 09:06:00.000000,45846.0,45929.0,45845.0,45912.0,2908,133455214.0
2026-06-01 09:07:00.000000,45911.0,45960.0,45893.0,45924.0,1771,81335946.0
2026-06-01 09:08:00.000000,45923.0,45923.0,45853.0,45886.0,1642,75343902.0
2026-06-01 09:09:00.000000,45885.0,45912.0,45770.0,45777.0,2088,95671809.0
