# git_hash: 159b6515e81cfa5ddabc42ea52787c6aff843966
# fill_mode: conservative
# commission_nt: 20.0
# slippage_ticks: 1
# flatten_slippage_ticks: 2
# initial_margin_nt: 35050.0
# maintenance_margin_nt: 26900.0
# start: 2025-03-03T08:46:00
# end: 2025-11-06T23:59:00
# n_1m: 194149
# source_files: diag
side,entry_ts,entry_price,exit_ts,exit_price,qty,pnl_nt,r_multiple,reason
short,2025-05-14T11:26:00,21662.0,2025-05-14T11:28:00,21671.0,1,-138.66660000000002,-1.7333325000000002,stop
short,2025-05-15T09:51:00,21748.0,2025-05-15T09:53:00,21732.0,1,111.304,1.3913,target
