entry_price,min_points,stop_buffer,take_profit,require_external,max_hold_bars,fill_mode,slippage_ticks,split,n_trades,expected_nt,expected_r,total_pnl_nt,mdd_nt,win_rate,profit_factor,max_margin_nt
top,15.0,5.0,opposite_liquidity,False,10000,conservative,1,is,8,-184.15019999999998,-1.8274454625744625,-1473.2015999999999,1794.5356,0.0,0.0,35050.0
top,15.0,5.0,opposite_liquidity,False,10000,optimistic,1,is,8,-184.15019999999998,-1.8274454625744625,-1473.2015999999999,1794.5356,0.0,0.0,35050.0
top,15.0,5.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,5.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,5.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,5.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,5.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,5.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,False,12,conservative,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,False,12,optimistic,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,False,24,conservative,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,False,24,optimistic,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,False,10000,conservative,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,False,10000,optimistic,1,is,8,-182.899725,-1.1504466390804597,-1463.1978,1463.1978,0.125,0.07069156732624884,35050.0
top,15.0,8.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,False,12,conservative,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,False,12,optimistic,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,False,24,conservative,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,False,24,optimistic,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,False,10000,conservative,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,False,10000,optimistic,1,is,8,-214.15035,-1.5410794515804598,-1713.2028,2004.5362,0.0,0.0,35050.0
top,15.0,8.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,15.0,8.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,False,12,conservative,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,False,12,optimistic,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,False,24,conservative,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,False,24,optimistic,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,False,10000,conservative,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,False,10000,optimistic,1,is,5,-155.18651999999997,-1.6134821933333334,-775.9325999999999,808.5689999999998,0.2,0.014356584428580756,35050.0
top,20.0,3.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,20.0,3.0,opposite_liquidity,False,12,conservative,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
top,20.0,3.0,opposite_liquidity,False,12,optimistic,1,is,5,-175.18692000000001,-2.280162193333333,-875.9346,1217.269,0.0,0.0,35050.0
