day,entry_mode,exit_mode,entry_ts,entry_px,atr,net,gross,exit_reason,wash_label,w15,w30,w60,dip_depth,mfe,mae,br,delta_br,drive_high
2025-12-03,p0,sealed,1764728004,27844.0,25.0,-5.0,0.0,breakeven,momentum_clean,18.0,-71.0,-102.0,0.0,45.0,153.0,0.8299,0.0012,27843.0
2025-12-03,p0,wash_struct,1764728004,27844.0,25.0,13.0,18.0,horizon,momentum_clean,18.0,-71.0,-102.0,0.0,45.0,153.0,0.8299,0.0012,27843.0
2025-12-03,p0,momentum_tail,1764728004,27844.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,18.0,-71.0,-102.0,0.0,45.0,153.0,0.8299,0.0012,27843.0
2025-12-03,p0,momentum_tail_trail,1764728004,27844.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,18.0,-71.0,-102.0,0.0,45.0,153.0,0.8299,0.0012,27843.0
2025-12-08,p0,sealed,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0,wash_struct,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0,momentum_tail,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0,momentum_tail_trail,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0_quality,sealed,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0_quality,wash_struct,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0_quality,momentum_tail,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-08,p0_quality,momentum_tail_trail,1765158300,28127.0,25.0,31.0,36.0,trail_stop,momentum_clean,23.0,47.0,106.0,0.0,113.0,2.0,1.0,0.0,28123.0
2025-12-19,p0,sealed,1766109003,27910.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,-31.0,7.0,-53.0,0.0,33.0,69.0,0.9125,0.0008,27909.0
2025-12-19,p0,wash_struct,1766109003,27910.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,-31.0,7.0,-53.0,0.0,33.0,69.0,0.9125,0.0008,27909.0
2025-12-19,p0,momentum_tail,1766109003,27910.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,-31.0,7.0,-53.0,0.0,33.0,69.0,0.9125,0.0008,27909.0
2025-12-19,p0,momentum_tail_trail,1766109003,27910.0,25.0,-36.25,-31.25,stop_loss,momentum_clean,-31.0,7.0,-53.0,0.0,33.0,69.0,0.9125,0.0008,27909.0
2025-12-22,p0,sealed,1766369856,28245.0,25.0,-2.0,3.0,horizon,momentum_clean,3.0,64.0,107.0,0.0,122.0,20.0,0.7139,0.0008,28244.0
2025-12-22,p0,wash_struct,1766369856,28245.0,25.0,-2.0,3.0,horizon,momentum_clean,3.0,64.0,107.0,0.0,122.0,20.0,0.7139,0.0008,28244.0
2025-12-22,p0,momentum_tail,1766369856,28245.0,25.0,70.0,75.0,take_profit,momentum_clean,3.0,64.0,107.0,0.0,122.0,20.0,0.7139,0.0008,28244.0
2025-12-22,p0,momentum_tail_trail,1766369856,28245.0,25.0,60.0,65.0,trail_stop,momentum_clean,3.0,64.0,107.0,0.0,122.0,20.0,0.7139,0.0008,28244.0
2025-12-26,p0,sealed,1766714331,28589.0,25.0,9.0,14.0,horizon,momentum_clean,14.0,7.0,45.0,0.0,63.0,17.0,0.8677,0.0003,28588.0
2025-12-26,p0,wash_struct,1766714331,28589.0,25.0,9.0,14.0,horizon,momentum_clean,14.0,7.0,45.0,0.0,63.0,17.0,0.8677,0.0003,28588.0
