timestamp,open,high,low,close,volume,amount
2025-10-15 00:00:00.000000,26890.0,26906.0,26886.0,26898.0,111,2985400.0
2025-10-15 00:01:00.000000,26902.0,26917.0,26902.0,26907.0,200,5382192.0
2025-10-15 00:02:00.000000,26907.0,26908.0,26895.0,26908.0,90,2421151.0
2025-10-15 00:03:00.000000,26907.0,26908.0,26896.0,26899.0,50,1345044.0
2025-10-15 00:04:00.000000,26898.0,26902.0,26892.0,26894.0,43,1156531.0
2025-10-15 00:05:00.000000,26894.0,26895.0,26879.0,26884.0,123,3306904.0
2025-10-15 00:06:00.000000,26884.0,26888.0,26884.0,26888.0,63,1693832.0
2025-10-15 00:07:00.000000,26888.0,26889.0,26876.0,26880.0,110,2956820.0
2025-10-15 00:08:00.000000,26880.0,26880.0,26863.0,26868.0,238,6394650.0
2025-10-15 00:09:00.000000,26869.0,26872.0,26865.0,26866.0,72,1934475.0
2025-10-15 00:10:00.000000,26866.0,26873.0,26865.0,26873.0,51,1370292.0
2025-10-15 00:11:00.000000,26873.0,26888.0,26871.0,26885.0,105,2822707.0
2025-10-15 00:12:00.000000,26884.0,26904.0,26884.0,26903.0,136,3657631.0
2025-10-15 00:13:00.000000,26904.0,26904.0,26892.0,26896.0,92,2474648.0
2025-10-15 00:14:00.000000,26896.0,26898.0,26886.0,26891.0,54,1452100.0
2025-10-15 00:15:00.000000,26889.0,26894.0,26887.0,26892.0,30,806708.0
2025-10-15 00:16:00.000000,26890.0,26902.0,26890.0,26899.0,56,1506290.0
2025-10-15 00:17:00.000000,26899.0,26900.0,26891.0,26900.0,36,968280.0
2025-10-15 00:18:00.000000,26900.0,26912.0,26896.0,26907.0,106,2852033.0
2025-10-15 00:19:00.000000,26908.0,26918.0,26905.0,26913.0,103,2771983.0
2025-10-15 00:20:00.000000,26912.0,26918.0,26909.0,26917.0,75,2018510.0
2025-10-15 00:21:00.000000,26917.0,26945.0,26915.0,26944.0,687,18501564.0
2025-10-15 00:22:00.000000,26945.0,26965.0,26945.0,26963.0,434,11698606.0
2025-10-15 00:23:00.000000,26964.0,26964.0,26946.0,26946.0,208,5606599.0
2025-10-15 00:24:00.000000,26945.0,26947.0,26928.0,26945.0,284,7649653.0
2025-10-15 00:25:00.000000,26947.0,26955.0,26941.0,26944.0,144,3880661.0
2025-10-15 00:26:00.000000,26944.0,26945.0,26937.0,26944.0,84,2263069.0
2025-10-15 00:27:00.000000,26944.0,26955.0,26944.0,26947.0,82,2209882.0
2025-10-15 00:28:00.000000,26949.0,26952.0,26945.0,26949.0,53,1428301.0
2025-10-15 00:29:00.000000,26947.0,26962.0,26946.0,26959.0,176,4744302.0
2025-10-15 00:30:00.000000,26958.0,26959.0,26952.0,26955.0,80,2156381.0
2025-10-15 00:31:00.000000,26955.0,26975.0,26955.0,26965.0,285,7686105.0
